sitio;temporada;fecha;hora;tratamiento;unidad;codigo;bar
rio_claro;2022-2023;2/2/2023;12:00;T2;1;H56A6;24.44
rio_claro;2022-2023;2/2/2023;12:00;T2;3;H55A8;25.05
rio_claro;2022-2023;2/2/2023;13:00;T3;1;H72A5;26.51
rio_claro;2022-2023;2/2/2023;13:00;T3;2;H72A6;29.86
rio_claro;2022-2023;2/2/2023;13:00;T3;3;H72A7;27.89
rio_claro;2022-2023;2/2/2023;13:00;T1;1;H67A5;20.35
rio_claro;2022-2023;2/2/2023;13:00;T1;2;H67A6;19.76
rio_claro;2022-2023;2/2/2023;13:00;T1;3;H66A5;21.14
rio_claro;2022-2023;2/2/2023;13:00;T4;3;H61A6;38.14
rio_claro;2022-2023;2/2/2023;13:00;T4;1;H62A8;18.91
rio_claro;2022-2023;2/2/2023;13:00;T2;1;H56A6;28.18
rio_claro;2022-2023;2/2/2023;13:00;T2;3;H55A8;26.46
rio_claro;2022-2023;2/2/2023;14:00;T3;1;H72A5;26.57
rio_claro;2022-2023;2/2/2023;14:00;T3;2;H72A6;30.52
rio_claro;2022-2023;2/2/2023;14:00;T3;3;H72A7;29.58
rio_claro;2022-2023;2/2/2023;14:00;T1;1;H67A5;20.94
rio_claro;2022-2023;2/2/2023;14:00;T1;2;H67A6;19.97
rio_claro;2022-2023;2/2/2023;14:00;T1;3;H66A5;20.67
rio_claro;2022-2023;2/2/2023;14:00;T4;3;H61A6;40.52
rio_claro;2022-2023;2/2/2023;14:00;T4;1;H62A8;19.6
rio_claro;2022-2023;2/2/2023;14:00;T2;1;H56A6;25.04
rio_claro;2022-2023;2/2/2023;14:00;T2;3;H55A8;27.36
rio_claro;2022-2023;2/2/2023;15:00;T3;1;H72A5;25.08
rio_claro;2022-2023;2/2/2023;15:00;T3;2;H72A6;29.32
rio_claro;2022-2023;2/2/2023;15:00;T3;3;H72A7;27.45
rio_claro;2022-2023;2/2/2023;15:00;T1;1;H67A5;19.03
rio_claro;2022-2023;2/2/2023;15:00;T1;2;H67A6;23.2
rio_claro;2022-2023;2/2/2023;15:00;T1;3;H66A5;19.95
rio_claro;2022-2023;2/2/2023;15:00;T4;3;H61A6;35.94
rio_claro;2022-2023;2/2/2023;15:00;T4;1;H62A8;19.74
rio_claro;2022-2023;2/2/2023;15:00;T2;1;H56A6;26.43
rio_claro;2022-2023;2/2/2023;15:00;T2;3;H55A8;23.47
rio_claro;2022-2023;2/2/2023;16:00;T3;1;H72A5;24.97
rio_claro;2022-2023;2/2/2023;16:00;T3;2;H72A6;29.26
rio_claro;2022-2023;2/2/2023;16:00;T3;3;H72A7;27.14
rio_claro;2022-2023;2/2/2023;16:00;T1;1;H67A5;18.96
rio_claro;2022-2023;2/2/2023;16:00;T1;2;H67A6;20.55
rio_claro;2022-2023;2/2/2023;16:00;T1;3;H66A5;20.13
rio_claro;2022-2023;2/2/2023;16:00;T4;3;H61A6;38.66
rio_claro;2022-2023;2/2/2023;16:00;T4;1;H62A8;19.23
rio_claro;2022-2023;2/2/2023;16:00;T2;1;H56A6;24.01
rio_claro;2022-2023;2/2/2023;16:00;T2;3;H55A8;22.32
rio_claro;2022-2023;2/2/2023;17:00;T3;1;H72A5;25.36
rio_claro;2022-2023;2/2/2023;17:00;T3;2;H72A6;28.27
rio_claro;2022-2023;2/2/2023;17:00;T3;3;H72A7;27.36
rio_claro;2022-2023;2/2/2023;17:00;T1;1;H67A5;17.83
rio_claro;2022-2023;2/2/2023;17:00;T1;2;H67A6;19.98
rio_claro;2022-2023;2/2/2023;17:00;T1;3;H66A5;20.04
rio_claro;2022-2023;2/2/2023;17:00;T4;3;H61A6;33.14
rio_claro;2022-2023;2/2/2023;17:00;T4;1;H62A8;20.31
rio_claro;2022-2023;2/2/2023;17:00;T2;1;H56A6;22.32
rio_claro;2022-2023;2/2/2023;17:00;T2;3;H55A8;24.65
rio_claro;2022-2023;2/2/2023;18:00;T3;1;H72A5;25.26
rio_claro;2022-2023;2/2/2023;18:00;T3;2;H72A6;28.14
rio_claro;2022-2023;2/2/2023;18:00;T3;3;H72A7;26.03
rio_claro;2022-2023;2/2/2023;18:00;T1;1;H67A5;17.4
